ID,PROGRAMA,N_PERIODOS,SECUENCIA_ESTADOS,SECUENCIA_TRANSICIONES,ESTADO_FINAL_PRED,ESTADO_FINAL_REAL
T00052603,INGENIERIA CIVIL,1,Primera vez en una carrera,c,Grado,Grado
T00052609,FINANZAS Y NEGOCIOS INTERNACIO,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00052668,INGENIERIA MECANICA,8,Primera vez en una carrera → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,baaaaaac,Grado,Grado
T00052671,INGENIERIA CIVIL,2,Primera vez en una carrera → PAP,bc,Grado,Grado
T00052672,ADMINISTRACION DE EMPRESAS,11,Primera vez en una carrera → Continuo regular → Continuo regular → PAP → PAT → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aabbaaaaaac,Grado,Grado
T00052673,INGENIERIA NAVAL,2,Primera vez en una carrera → Continuo regular,ak,Final,Final
T00052674,DERECHO,1,Primera vez en una carrera,k,Final,Final
T00052676,INGENIERIA CIVIL,1,Primera vez en una carrera,c,Grado,Grado
T00052678,PSICOLOGIA,8,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaac,Grado,Grado
T00052680,PSICOLOGIA,10,Primera vez en una carrera → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aabkaaaaac,Grado,Grado
T00052681,FINANZAS Y NEGOCIOS INTERNACIO,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00052683,INGENIERIA INDUSTRIAL,3,Primera vez en una carrera → Continuo regular → PAP,abc,Grado,Grado
T00052684,INGENIERIA AMBIENTAL,10,Primera vez en una carrera → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,abaaaaaaac,Grado,Grado
T00052690,DERECHO,12,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaabaaaaaac,Grado,Grado
T00052691,PSICOLOGIA,8,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaac,Grado,Grado
T00052702,FINANZAS Y NEGOCIOS INTERNACIO,8,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaac,Grado,Grado
T00052703,FINANZAS Y NEGOCIOS INTERNACIO,4,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular,aaac,Grado,Grado
T00052705,CONTADURIA PUBLICA,3,Primera vez en una carrera → Continuo regular → Continuo regular,aac,Grado,Grado
T00052709,INGENIERIA CIVIL,3,Primera vez en una carrera → PAP → PAT,bbc,Grado,Grado
T00052718,INGENIERIA INDUSTRIAL,3,Primera vez en una carrera → Continuo regular → PAP,abc,Grado,Grado
T00052719,ADMINISTRACION DE EMPRESAS,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00052720,INGENIERIA CIVIL,12,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaabaaaaaac,Grado,Grado
T00052725,FINANZAS Y NEGOCIOS INTERNACIO,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaabaaaac,Grado,Grado
T00052726,DERECHO,12,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaaac,Grado,Grado
T00052727,ADMINISTRACION DE EMPRESAS,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00052728,INGENIERIA QUIMICA,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00052729,INGENIERIA CIVIL,2,Primera vez en una carrera → Continuo regular,ak,Final,Final
T00052730,INGENIERIA QUIMICA,1,Primera vez en una carrera,k,Final,Final
T00052732,COMUNICACION SOCIAL,1,Primera vez en una carrera,c,Grado,Grado
T00052733,INGENIERIA INDUSTRIAL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Primera vez en una carrera,aaaaaaaaaac,Grado,Grado
T00052735,INGENIERIA CIVIL,15,Primera vez en una carrera → Continuo regular → PAP → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → PAT → Recuperación académica → Continuo regular → PAP,ababaaaaabbeabc,Grado,Grado
T00052736,COMUNICACION SOCIAL,1,Primera vez en una carrera,k,Final,Final
T00052737,COMUNICACION SOCIAL,1,Primera vez en una carrera,k,Final,Final
T00052738,COMUNICACION SOCIAL,1,Primera vez en una carrera,k,Final,Final
T00052740,COMUNICACION SOCIAL,1,Primera vez en una carrera,k,Final,Final
T00052741,COMUNICACION SOCIAL,1,Primera vez en una carrera,k,Final,Final
T00052742,COMUNICACION SOCIAL,1,Primera vez en una carrera,k,Final,Final
T00052743,COMUNICACION SOCIAL,1,Primera vez en una carrera,k,Final,Final
T00052744,PSICOLOGIA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00052745,CONTADURIA PUBLICA,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00052746,FINANZAS Y NEGOCIOS INTERNACIO,3,Primera vez en una carrera → PAP → PAT,bbc,Grado,Grado
T00052749,INGENIERIA ELECTRONICA,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00052751,PSICOLOGIA,10,Primera vez en una carrera → Continuo regular → PAP → PAT → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,abbaaaaaac,Grado,Grado
T00052834,DERECHO,1,Primera vez en una carrera,k,Final,Final
T00052835,INGENIERIA QUIMICA,1,Primera vez en una carrera,c,Grado,Grado
T00052837,INGENIERIA MECATRONICA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00052838,PSICOLOGIA,6,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaac,Grado,Grado
T00052839,CONTADURIA PUBLICA,4,Primera vez en una carrera → Continuo regular → PAP → PAT,abbc,Grado,Grado
T00052840,INGENIERIA MECATRONICA,1,Primera vez en una carrera,k,Final,Final
T00052842,INGENIERIA INDUSTRIAL,1,Primera vez en una carrera,k,Final,Final
T00052843,CONTADURIA PUBLICA,2,Primera vez en una carrera → PAP,bk,Final,Final
T00052844,INGENIERIA INDUSTRIAL,1,Primera vez en una carrera,k,Final,Final
T00052845,ECONOMIA,1,Primera vez en una carrera,k,Final,Final
T00052847,COMUNICACION SOCIAL,1,Primera vez en una carrera,k,Final,Final
T00052848,COMUNICACION SOCIAL,1,Primera vez en una carrera,k,Final,Final
T00052849,INGENIERIA QUIMICA,1,Primera vez en una carrera,k,Final,Final
T00052850,FINANZAS Y NEGOCIOS INTERNACIO,1,Primera vez en una carrera,k,Final,Final
T00052851,FINANZAS Y NEGOCIOS INTERNACIO,1,Primera vez en una carrera,k,Final,Final
T00052852,FINANZAS Y NEGOCIOS INTERNACIO,1,Primera vez en una carrera,k,Final,Final
T00052853,FINANZAS Y NEGOCIOS INTERNACIO,1,Primera vez en una carrera,k,Final,Final
T00052854,INGENIERIA ELECTRICA,1,Primera vez en una carrera,k,Final,Final
T00052855,CONTADURIA PUBLICA,1,Primera vez en una carrera,k,Final,Final
T00052856,CIENCIA POLITICA Y RELAC INTER,1,Primera vez en una carrera,k,Final,Final
T00052858,INGENIERIA GENERAL,1,Primera vez en una carrera,c,Grado,Grado
T00052859,DERECHO,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00052860,FINANZAS Y NEGOCIOS INTERNACIO,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00052861,DERECHO,4,Primera vez en una carrera → Continuo regular → PAP → PAT,abbc,Grado,Grado
T00052862,INGENIERIA AMBIENTAL,1,Primera vez en una carrera,c,Grado,Grado
T00052863,ADMINISTRACION DE EMPRESAS,10,Primera vez en una carrera → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,baaaaaaaac,Grado,Grado
T00052867,INGENIERIA QUIMICA,1,Primera vez en una carrera,k,Final,Final
T00052927,INGENIERIA INDUSTRIAL,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00052930,INGENIERIA CIVIL,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaac,Grado,Grado
T00052932,PSICOLOGIA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular,aaaaaabaac,Grado,Grado
T00052946,INGENIERIA MECANICA,6,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaac,Grado,Grado
T00052950,INGENIERIA CIVIL,2,Primera vez en una carrera → PAP,bk,Final,Final
T00052954,COMUNICACION SOCIAL,11,Primera vez en una carrera → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aabaakaaaac,Grado,Grado
T00052955,COMUNICACION SOCIAL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00052956,INGENIERIA CIVIL,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00052957,INGENIERIA QUIMICA,1,Primera vez en una carrera,k,Final,Final
T00052958,INGENIERIA CIVIL,11,Primera vez en una carrera → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,abaaaaaaaac,Grado,Grado
T00052959,COMUNICACION SOCIAL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00052960,INGENIERIA QUIMICA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00052970,TECNOLOGIA EN GES CONTAB Y FIN,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaakaac,Grado,Grado
T00052975,INGENIERIA QUIMICA,1,Primera vez en una carrera,k,Final,Final
T00052980,COMUNICACION SOCIAL,11,Primera vez en una carrera → Continuo regular → PAP → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,ababakaaaac,Grado,Grado
T00052982,INGENIERIA NAVAL,14,Primera vez en una carrera → PAP → Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,bkaaaaaaakaaac,Grado,Grado
T00052983,TECNOLOGIA EN GES CONTAB Y FIN,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00052984,INGENIERIA QUIMICA,1,Primera vez en una carrera,k,Final,Final
T00052988,INGENIERIA CIVIL,1,Primera vez en una carrera,c,Grado,Grado
T00052989,PSICOLOGIA,9,Primera vez en una carrera → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,abaaakaac,Grado,Grado
T00052990,INGENIERIA CIVIL,1,Primera vez en una carrera,c,Grado,Grado
T00052991,INGENIERIA CIVIL,1,Primera vez en una carrera,c,Grado,Grado
T00052992,ECONOMIA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00052995,INGENIERIA CIVIL,1,Primera vez en una carrera,k,Final,Final
T00052996,INGENIERIA CIVIL,1,Primera vez en una carrera,k,Final,Final
T00053010,ADMINISTRACION DE EMPRESAS,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00053015,INGENIERIA QUIMICA,1,Primera vez en una carrera,k,Final,Final
T00053041,INGENIERIA MECANICA,6,Primera vez en una carrera → PAP → PAT → Recuperación académica → Primera vez en una carrera → Continuo regular,bbekkk,Final,Final
T00053043,INGENIERIA CIVIL,9,Primera vez en una carrera → Continuo regular → PAP → Continuo regular → PAP → PAT → Continuo regular → Continuo regular → Continuo regular,ababbaaac,Grado,Grado
T00053044,INGENIERIA INDUSTRIAL,6,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaac,Grado,Grado
T00053049,COMUNICACION SOCIAL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaakc,Grado,Grado
T00053068,INGENIERIA MECANICA,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00053070,INGENIERIA CIVIL,2,Primera vez en una carrera → Continuo regular,ak,Final,Final
T00053072,INGENIERIA INDUSTRIAL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00053073,INGENIERIA INDUSTRIAL,1,Primera vez en una carrera,c,Grado,Grado
T00053075,INGENIERIA NAVAL,11,Primera vez en una carrera → PAP → Primera vez en una carrera → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP,bbaabaaaabc,Grado,Grado
T00053101,INGENIERIA NAVAL,2,Primera vez en una carrera → PAP,bk,Final,Final
T00053111,FINANZAS Y NEGOCIOS INTERNACIO,3,Primera vez en una carrera → PAP → PAT,bbc,Grado,Grado
T00053115,CONTADURIA PUBLICA,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00053118,ADMINISTRACION DE EMPRESAS,3,Primera vez en una carrera → Continuo regular → PAP,abk,Final,Final
T00053120,FINANZAS Y NEGOCIOS INTERNACIO,12,Primera vez en una carrera → PAP → PAT → Recuperación académica → Recuperación académica → Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PFU,bbeeeaaaaakc,Grado,Grado
T00053171,INGENIERIA ELECTRONICA,11,Primera vez en una carrera → PAP → PAT → Recuperación académica → Primera vez en una carrera → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,bbeebaaaaac,Grado,Grado
T00053190,INGENIERIA ELECTRICA,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PFU → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP,aaakgaaaabc,Grado,Grado
T00053209,INGENIERIA CIVIL,8,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → PAP,aaaababc,Grado,Grado
T00053266,COMUNICACION SOCIAL,2,Primera vez en una carrera → Primera vez en una carrera,kc,Grado,Grado
T00053277,INGENIERIA QUIMICA,2,Primera vez en una carrera → Primera vez en una carrera,bc,Grado,Grado
T00053279,INGENIERIA QUIMICA,5,Primera vez en una carrera → Continuo regular → Continuo regular → PAP → PAT,aabbc,Grado,Grado
T00053287,ADMINISTRACION DE EMPRESAS,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00053289,ADMINISTRACION DE EMPRESAS,10,Primera vez en una carrera → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,abaaaaaakc,Grado,Grado
T00053331,ECONOMIA,1,Primera vez en una carrera,k,Final,Final
T00053373,CIENCIA POLITICA Y RELAC INTER,1,Primera vez en una carrera,k,Final,Final
T00053452,FINANZAS Y NEGOCIOS INTERNACIO,1,Primera vez en una carrera,k,Final,Final
T00053462,ADMINISTRACION DE EMPRESAS,5,Primera vez en una carrera → Continuo regular → PAP → Continuo regular → Continuo regular,abkkc,Grado,Grado
T00053508,CONTADURIA PUBLICA,3,Primera vez en una carrera → Continuo regular → PAP,abc,Grado,Grado
T00053509,INGENIERIA MECANICA,1,Primera vez en una carrera,k,Final,Final
T00053519,COMUNICACION SOCIAL,1,Primera vez en una carrera,k,Final,Final
T00053520,INGENIERIA MECANICA,1,Primera vez en una carrera,k,Final,Final
T00053543,INGENIERIA QUIMICA,9,Primera vez en una carrera → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,kabaaaaac,Grado,Grado
T00053650,INGENIERIA QUIMICA,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00053837,INGENIERIA ELECTRICA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaakaaac,Grado,Grado
T00053838,TECNOLOGIA EN SISTEMAS,12,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaakaaaaac,Grado,Grado
T00053847,INGENIERIA DE SISTEMAS,1,Primera vez en una carrera,c,Grado,Grado
T00053864,INGENIERIA MECATRONICA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00053865,INGENIERIA NAVAL,13,Primera vez en una carrera → PAP → PAT → Continuo regular → PFU → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,bbakgaaaaaaac,Grado,Grado
T00053898,DERECHO,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00053899,DERECHO,5,Primera vez en una carrera → Continuo regular → PAP → Continuo regular → Continuo regular,abaac,Grado,Grado
T00053901,ADMINISTRACION DE EMPRESAS,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00053902,INGENIERIA CIVIL,8,Primera vez en una carrera → PAP → Continuo regular → PAP → Continuo regular → Continuo regular → PAP → PAT,babkabbc,Grado,Grado
T00053905,FINANZAS Y NEGOCIOS INTERNACIO,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00053951,COMUNICACION SOCIAL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaakac,Grado,Grado
T00053965,ADMINISTRACION DE EMPRESAS,4,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular,aaac,Grado,Grado
T00053966,INGENIERIA QUIMICA,13,Primera vez en una carrera → PAP → PAT → Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → PAP → PAT → Recuperación académica → Continuo regular → PAP → Continuo regular,bbkkaabbeabac,Grado,Grado
T00053968,INGENIERIA CIVIL,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00053972,FINANZAS Y NEGOCIOS INTERNACIO,11,Primera vez en una carrera → Continuo regular → PAP → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular,ababaaabaac,Grado,Grado
T00053973,INGENIERIA MECATRONICA,11,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP,aaaaaaaaabc,Grado,Grado
T00053974,INGENIERIA CIVIL,13,Primera vez en una carrera → PAP → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular,babaaaaaabaac,Grado,Grado
T00053985,FINANZAS Y NEGOCIOS INTERNACIO,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00053990,CONTADURIA PUBLICA,15,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaaabaaac,Grado,Grado
T00053997,INGENIERIA MECATRONICA,8,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaac,Grado,Grado
T00054052,INGENIERIA MECATRONICA,15,Primera vez en una carrera → PAP → PAT → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica → Primera vez en una carrera → Continuo regular,bbeeeeeeeeeekac,Grado,Grado
T00054059,INGENIERIA INDUSTRIAL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00054077,DERECHO,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00054097,INGENIERIA MECANICA,1,Primera vez en una carrera,k,Final,Final
T00054181,INGENIERIA MECATRONICA,12,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular,aaaakaaaabac,Grado,Grado
T00054207,INGENIERIA INDUSTRIAL,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00054289,COMUNICACION SOCIAL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaakc,Grado,Grado
T00054290,INGENIERIA ELECTRICA,5,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaac,Grado,Grado
T00054298,INGENIERIA INDUSTRIAL,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00054300,INGENIERIA MECATRONICA,1,Primera vez en una carrera,c,Grado,Grado
T00054301,CIENCIA POLITICA Y RELAC INTER,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00054313,INGENIERIA CIVIL,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00054315,CIENCIA POLITICA Y RELAC INTER,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00054317,INGENIERIA INDUSTRIAL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00054318,INGENIERIA INDUSTRIAL,8,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaac,Grado,Grado
T00054319,FINANZAS Y NEGOCIOS INTERNACIO,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaaac,Grado,Grado
T00054321,INGENIERIA ELECTRICA,2,Primera vez en una carrera → PAP,bc,Grado,Grado
T00054322,INGENIERIA INDUSTRIAL,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00054323,INGENIERIA INDUSTRIAL,2,Primera vez en una carrera → Continuo regular,ak,Final,Final
T00054324,INGENIERIA NAVAL,3,Primera vez en una carrera → PAP → PAT,bbc,Grado,Grado
T00054326,INGENIERIA DE SISTEMAS,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00054328,INGENIERIA ELECTRICA,13,Primera vez en una carrera → Continuo regular → PAP → PAT → Recuperación académica → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → PAT → Continuo regular → Continuo regular,abbeaaaabbaac,Grado,Grado
T00054329,INGENIERIA INDUSTRIAL,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
T00054330,FINANZAS Y NEGOCIOS INTERNACIO,11,Primera vez en una carrera → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,abaaaaaaaac,Grado,Grado
T00054331,INGENIERIA MECANICA,9,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaaaac,Grado,Grado
