ID,PROGRAMA,N_PERIODOS,SECUENCIA_ESTADOS,SECUENCIA_TRANSICIONES,ESTADO_FINAL_PRED,ESTADO_FINAL_REAL,N_ANOMALIAS
T00043769,ADMINISTRACION DE EMPRESAS,1,Primera vez en una carrera,k,Final,Final,0
T00043850,ADMINISTRACION DE EMPRESAS,4,Primera vez en una carrera -> Primera vez en una carrera -> Continuo regular -> PAP,kabc,Grado,Grado,0
T00044114,INGENIERIA MECANICA,9,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> PAP -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaabaaaac,Grado,Grado,0
T00044120,ECONOMIA,6,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaac,Grado,Grado,0
T00044182,INGENIERIA MECANICA,1,Primera vez en una carrera,k,Final,Final,0
T00044211,INGENIERIA CIVIL,13,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaakaaaaaaac,Grado,Grado,0
T00044222,INGENIERIA CIVIL,3,Primera vez en una carrera -> Primera vez en una carrera -> PAP,kbc,Grado,Grado,0
T00044245,INGENIERIA MECANICA,12,Primera vez en una carrera -> Continuo regular -> PAP -> PAT -> Continuo regular -> PAP -> PAT -> Recuperacion academica -> Recuperacion academica -> Recuperacion academica -> Primera vez en una carrera -> Continuo regular,kbbkbbeeekac,Grado,Grado,0
T00044268,COMUNICACION SOCIAL,15,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP -> PAT -> Continuo regular -> Continuo regular,akakbakaaabbkac,Grado,Grado,0
T00044274,INGENIERIA INDUSTRIAL,2,Primera vez en una carrera -> Continuo regular,ac,Grado,Grado,0
T00044301,INGENIERIA CIVIL,15,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP -> PAT -> Continuo regular -> PAP -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaabbabaaaaaac,Grado,Grado,0
T00044314,INGENIERIA INDUSTRIAL,5,Primera vez en una carrera -> Continuo regular -> Continuo regular -> PAP -> PAT,akbbc,Grado,Grado,0
T00044372,INGENIERIA CIVIL,12,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP -> Continuo regular,aaaaaaaaabac,Grado,Grado,0
T00044508,INGENIERIA AMBIENTAL,1,Primera vez en una carrera,k,Final,Final,0
T00044848,INGENIERIA CIVIL,1,Primera vez en una carrera,k,Final,Final,0
T00044849,INGENIERIA DE SISTEMAS,10,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaaac,Grado,Grado,0
T00044850,INGENIERIA CIVIL,9,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaac,Grado,Grado,0
T00044852,INGENIERIA INDUSTRIAL,1,Primera vez en una carrera,k,Final,Final,0
T00044854,INGENIERIA CIVIL,4,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular,akkc,Grado,Grado,0
T00044856,INGENIERIA INDUSTRIAL,9,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaac,Grado,Grado,0
T00044857,INGENIERIA MECATRONICA,7,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaac,Grado,Grado,0
